unifact_id,uni_name,country_name,year,teaching,research,citations,industry_income,international_outlook
1,Bielefeld University,Germany,2011,39.9,35.7,70.4,,
2,Charite Universitatsmedizin Berlin,Germany,2011,,,,,
3,Free University of Berlin,Germany,2011,,,,,
4,Goethe University Frankfurt,Germany,2011,39.2,37.3,69.5,41.6,56.1
5,Hamburg University of Technology,Germany,2011,,,,,
6,Heidelberg University,Germany,2011,59.2,47.5,70.3,39.1,63.4
7,Humboldt University of Berlin,Germany,2011,50.9,44.5,52,27.8,46.1
8,Johannes Gutenberg University of Mainz,Germany,2011,,,,,
9,Justus Liebig University Giessen,Germany,2011,,,,,
10,Karlsruhe Institute of Technology,Germany,2011,45,35.4,60.7,40,47.3
11,Leibniz University of Hanover,Germany,2011,,,,,
12,LMU Munich,Germany,2011,59.1,57.5,76.4,40.4,43
13,Otto von Guericke University of Magdeburg,Germany,2011,,,,,
14,Ruhr University Bochum,Germany,2011,,,,,
15,RWTH Aachen University,Germany,2011,50,42.5,48.9,56.6,63.8
16,Technical University of Berlin,Germany,2011,,,,,
17,Technical University of Darmstadt,Germany,2011,,,,,
18,Technical University of Munich,Germany,2011,50.4,43.2,71.2,,85.3
19,TU Dortmund University,Germany,2011,,,,,
20,TU Dresden,Germany,2011,,,,,
21,Ulm University,Germany,2011,,,,,
22,University of Bayreuth,Germany,2011,,,,,
23,University of Bonn,Germany,2011,46.8,33.8,65.3,29.4,46.8
24,University of Bremen,Germany,2011,,,,,
25,University of Cologne,Germany,2011,,,,,
26,University of Duisburg Essen,Germany,2011,,,,,
27,University of Erlangen Nuremberg,Germany,2011,,,,,
28,University of Freiburg,Germany,2011,52.4,41.4,64.3,79.8,46.2
29,University of Gottingen,Germany,2011,57.3,55.9,92.5,31.7,44.5
30,University of Greifswald,Germany,2011,,,,,
31,University of Hamburg,Germany,2011,,,,,
32,University of Hohenheim,Germany,2011,,,,,
33,University of Kaiserslautern,Germany,2011,,,,,
34,University of Kiel,Germany,2011,,,,,
35,University of Konstanz,Germany,2011,42.7,40.1,51.3,,93.6
36,University of Mannheim,Germany,2011,,,,,
37,University of Marburg,Germany,2011,,,,,
38,University of Munster,Germany,2011,,,,,
39,University of Paderborn,Germany,2011,,,,,
40,University of Passau,Germany,2011,,,,,
41,University of Potsdam,Germany,2011,,,,,
42,University of Siegen,Germany,2011,,,,,
43,University of Stuttgart,Germany,2011,,,,,
44,University of Tubingen,Germany,2011,45.9,36.3,57.3,32.3,57.8
45,University of Wurzburg,Germany,2011,48.7,40.9,60.4,,40.3
46,Bielefeld University,Germany,2012,19.1,17,61.6,28.6,45.2
47,Charite Universitatsmedizin Berlin,Germany,2012,,,,,
48,Free University of Berlin,Germany,2012,46.3,48.5,42.5,30.6,62.1
49,Goethe University Frankfurt,Germany,2012,30.5,21.7,75.1,42.4,57.6
50,Hamburg University of Technology,Germany,2012,,,,,
51,Heidelberg University,Germany,2012,57.1,41.5,78.5,37.6,62.3
52,Humboldt University of Berlin,Germany,2012,51.3,54.5,50.1,,64.5
53,Johannes Gutenberg University of Mainz,Germany,2012,,,,,
54,Justus Liebig University Giessen,Germany,2012,,,,,
55,Karlsruhe Institute of Technology,Germany,2012,34.6,19.6,65.5,35.6,64.9
56,Leibniz University of Hanover,Germany,2012,28.2,15.9,21.7,38.9,51.4
57,LMU Munich,Germany,2012,63.8,59.9,84.6,40.7,54.3
58,Otto von Guericke University of Magdeburg,Germany,2012,,,,,
59,Ruhr University Bochum,Germany,2012,34.9,28.3,36,59.7,46.6
60,RWTH Aachen University,Germany,2012,36.1,25.1,67.2,61.8,67.1
61,Technical University of Berlin,Germany,2012,,,,,
62,Technical University of Darmstadt,Germany,2012,28,15.5,39.2,45.1,71
63,Technical University of Munich,Germany,2012,50,37.1,76.3,47.2,65.2
64,TU Dortmund University,Germany,2012,,,,,
65,TU Dresden,Germany,2012,27.3,13.8,57.4,31.9,49.2
66,Ulm University,Germany,2012,40.8,18.8,46.7,69.8,50.8
67,University of Bayreuth,Germany,2012,,,,,
68,University of Bonn,Germany,2012,,,,,
69,University of Bremen,Germany,2012,,,,,
70,University of Cologne,Germany,2012,,,,,
71,University of Duisburg Essen,Germany,2012,,,,,
72,University of Erlangen Nuremberg,Germany,2012,,,,,
73,University of Freiburg,Germany,2012,35.7,18.7,67.8,81.8,55.6
